ordem,municipio,portal_oficial,url_informada,url_final_ou_tentada,titulo,status,caminho,evidencia,data_verificacao
"11","Araputanga","https://araputanga.mt.gov.br/","https://araputanga.mt.gov.br/contato","https://falabr.cgu.gov.br/publico/mt/araputanga/Manifestacao/RegistrarManifestacao","404 - Arquivo ou diretório não encontrado.","ERRO_HTTP_404","Portal → Acessar FALA.BR → 404","A página oficial ofereceu “Acessar FALA.BR”; o destino retornou 404.","2026-09-21"
"12","Arenápolis","https://www.arenapolis.mt.gov.br/","https://www.arenapolis.mt.gov.br/ouvidoria","https://www.arenapolis.mt.gov.br/ouvidoria/manifestacao","Ouvidoria | Manifestações | Prefeitura Municipal de Arenápolis","FORMULARIO_FINAL_CONFIRMADO","/ouvidoria → Acessar","Formulário com Nome, E-mail, Telefone, Estado, Cidade e campo de mensagem.","2026-09-21"
"13","Aripuanã","https://www.aripuana.mt.gov.br/#/home","https://aripuana.servicos.pentagono.info/","https://prefaripuana.ouvidoriabr.com/protocolo/novo/116","Ouvidoria da Prefeitura de Aripuanã","FORMULARIO_FINAL_CONFIRMADO","Portal oficial → OuvidoriaBR → Novo Protocolo → Solicitação de Serviços","Novo Protocolo / Solicitação de Serviços com Nome Completo, E-mail, CPF, Telefone, Mensagem e botão Salvar.","2026-09-21"
"14","Barra do Bugres","https://www.barradobugres.mt.gov.br/","https://www.barradobugres.mt.gov.br/","https://www.gp.srv.br/ouvidoria/barradobugres/#/portal/1/manifestacao","Portal Ouvidoria | PREFEITURA MUNICIPAL DE BARRA DO BUGRES","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria CR2 → Abrir Manifestação → Registre sua Manifestação","Campos assunto/tipo, dados do solicitante e descrição em formulário de manifestação.","2026-09-21"
"15","Barra do Garças","https://www.barradogarcas.mt.gov.br/","https://ouvidoria.barradogarcas.mt.gov.br/","https://falabr.cgu.gov.br/v2/manifestacoes/registrar","Fala.BR - Plataforma Integrada de Ouvidoria e Acesso à Informação","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria municipal → Acessar Fala.BR → Registrar Manifestação","Etapa Relato com campo obrigatório, anexos e etapas Tipo e Assunto → Local → Envolvidos → Revisão. Formulário genérico, sem órgão Barra do Garças pré-selecionado; não inseri dados.","2026-09-21"
"16","Barão de Melgaço","https://www.baraodemelgaco.mt.gov.br/","https://www.baraodemelgaco.mt.gov.br/","https://www.baraodemelgaco.mt.gov.br/ouvidoria-identificada","Ouvidoria Identificada","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria → forma identificada","Nome, CPF/CNPJ, endereço, e-mail, assunto e descrição; caminho anônimo também existe. CAPTCHA visível, não resolvido.","2026-09-21"
"17","Boa Esperança do Norte","https://www.boaesperancadonorte.mt.gov.br/","https://www.boaesperancadonorte.mt.gov.br/ouvidoria","https://www.boaesperancadonorte.mt.gov.br/ouvidoria/nova/17/denuncia","Ouvidoria","FORMULARIO_FINAL_CONFIRMADO","/ouvidoria → Denúncia","Formulário de denúncia com Nome, E-mail, assunto, relato e botão Registrar manifestação.","2026-09-21"
"18","Bom Jesus do Araguaia","https://www.bomjesusdoaraguaia.mt.gov.br/","https://gws-sistemas.com.br/ouvidoria.pm.bomjesusdoaraguaia/","https://gws-sistemas.com.br/ouvidoria.pm.bomjesusdoaraguaia/novo-protocolo","Novo Protocolo","FORMULARIO_FINAL_CONFIRMADO","Canal GWS → Novo Protocolo","Departamento, assunto, mensagem e prioridade; cadastro por e-mail/nome/senha exigido.","2026-09-21"
"19","Brasnorte","https://www.brasnorte.mt.gov.br/","https://ouvidoria.brasnorte.mt.gov.br/","https://ouvidoria.brasnorte.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Brasnorte","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastro de manifestação com tipo, identificação/contato, assunto e texto; reCAPTCHA indicado, não resolvido.","2026-09-21"
"20","Campinápolis","https://www.campinapolis.mt.gov.br/#/home","https://www.campinapolis.mt.gov.br/","https://prefcampinapolis.ouvidoriabr.com/protocolo/novo/138","Ouvidoria da Prefeitura de Campinápolis","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria-SIC → OuvidoriaBR → Novo Protocolo","Novo Protocolo/Reclamação com nome, e-mail, CPF, telefone e mensagem; permite continuar sem identificação.","2026-09-21"
"21","Campo Novo do Parecis","https://novo.camponovodoparecis.mt.gov.br/","https://ouvidoria.camponovodoparecis.mt.gov.br/","https://ouvidoria.camponovodoparecis.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Campo Novo do Parecis","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Formulário Cadastre sua Manifestação com contato, identificação, relato e anexo; reCAPTCHA indicado.","2026-09-21"
"22","Campo Verde","https://campoverde.mt.gov.br/","https://ouvidoria.campoverde.mt.gov.br/","https://ouvidoria.campoverde.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura Municipal de Campo Verde","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastre sua Manifestação, contato, identificação, relato, anexo e Enviar; reCAPTCHA indicado.","2026-09-21"
"23","Campos de Júlio","https://www.camposdejulio.mt.gov.br/","https://ouvidoria.camposdejulio.mt.gov.br/","https://ouvidoria.camposdejulio.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura Municipal de Campos de Júlio","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastre sua Manifestação com contato, identificação, relato, anexo e Enviar; reCAPTCHA indicado.","2026-09-21"
"24","Canabrava do Norte","https://canabravadonorte.org/","https://www.canabravadonorte.org/transparencia/ouvidoria","https://www.canabravadonorte.org/transparencia/ouvidoria/cadastrar-manifestacao","Canabrava do Norte","FORMULARIO_FINAL_CONFIRMADO","Página Ouvidoria → Cadastrar Manifestação","Página Cadastrar Manifestação com tipo de contato, identificação, dados pessoais, manifestação e Enviar.","2026-09-21"
"25","Canarana","https://canarana.mt.gov.br/portal/","https://canarana.mt.gov.br/novoportal/ouvidoria.php","https://canarana.mt.gov.br/portal/","Erro de privacidade","ERRO_TLS_CERT_DATE_INVALID","URL planilha e portal oficial → bloqueio TLS","Tanto o canal indicado quanto o portal oficial exibiram ERR_CERT_DATE_INVALID; não contornei o aviso TLS.","2026-09-21"
"26","Carlinda","https://www.carlinda.mt.gov.br/adm/aplicativo.php","https://ouvidoria.carlinda.mt.gov.br/","https://ouvidoria.carlinda.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Carlinda MT","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Tipo, nome, e-mail, telefone, estado/cidade, relato e botão Enviar; reCAPTCHA indicado.","2026-09-21"
"27","Castanheira","https://www.castanheira.mt.gov.br/","https://www.castanheira.mt.gov.br/fale","https://www.castanheira.mt.gov.br/fale","Prefeitura de Castanheira","FORMULARIO_FINAL_CONFIRMADO","Portal → Fale","Página Fale Conosco associada pela prefeitura à Ouvidoria/DPO; oferece categorias denúncia, elogio, reclamação, solicitação e sugestão, campo Mensagem e Enviar.","2026-09-21"
"28","Chapada dos Guimarães","https://www.chapadadosguimaraes.mt.gov.br/","https://ouvidoria.chapadadosguimaraes.mt.gov.br/","https://ouvidoria.chapadadosguimaraes.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Chapada dos Guimarães","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Formulário de manifestação, campos de contato e texto, botão Enviar; reCAPTCHA indicado.","2026-09-21"
"29","Cláudia","https://www.claudia.mt.gov.br/","https://www.claudia.mt.gov.br/telefones-uteis/","https://falabr.cgu.gov.br/v2/manifestacoes/registrar","Fala.BR - Plataforma Integrada de Ouvidoria e Acesso à Informação","FORMULARIO_FINAL_CONFIRMADO","Telefones Úteis → Ouvidoria → FALA.BR → Cidadãos","Fala.BR abre etapa Relato com campo obrigatório e etapas seguintes; não preseleciona o município Cláudia.","2026-09-21"
"30","Cocalinho","https://www.cocalinho.mt.gov.br/","https://www.cocalinho.mt.gov.br/","https://www.cocalinho.mt.gov.br/ouvidoria-identificada","Ouvidoria Identificada","FORMULARIO_FINAL_CONFIRMADO","/ouvidoria → clique aqui para identificação","Nome, CPF/CNPJ, endereço, e-mail, tipo, assunto e botão Enviar.","2026-09-21"
"31","Colniza","https://colniza.mt.gov.br/#/home","https://colniza.mt.gov.br/","https://prefcolniza.ouvidoriabr.com/protocolo/novo/40","Ouvidoria da Prefeitura de Colniza","FORMULARIO_FINAL_CONFIRMADO","Portal → OuvidoriaBR → Novo Protocolo → Denúncia","Novo Protocolo/Denúncia com identificação, mensagem, anexo e Salvar; há opção de continuar sem identificação.","2026-09-21"
"32","Colíder","https://www.colider.mt.gov.br/","https://ouvidoria.colider.mt.gov.br/","https://ouvidoria.colider.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Colíder","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastrar Manifestação com contato, relato e Enviar; reCAPTCHA indicado.","2026-09-21"
"33","Comodoro","https://www.comodoro.mt.gov.br/","https://ouvidoria.comodoro.mt.gov.br/","https://ouvidoria.comodoro.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Comodoro","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastre sua Manifestação, identificação, relato/anexo e Enviar; reCAPTCHA indicado, não resolvido.","2026-09-21"
"34","Confresa","https://confresa.mt.gov.br/","https://confresa.mt.gov.br/","https://confresa.mt.gov.br/ouvidoria/","Ouvidoria Municipal","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria","Nova Manifestação com tipo, dados do solicitante, assunto/relato; desafio aritmético visível, não resolvido.","2026-09-21"
"35","Conquista d’Oeste","https://www.conquistadoeste.mt.gov.br/","https://www.conquistadoeste.mt.gov.br/portal/ouvidoria","https://www.conquistadoeste.mt.gov.br/portal/ouvidoria/cadastro/1","Prefeitura Municipal de Conquista d’Oeste","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria → Denúncia","Formulário para Denúncia com secretaria, assunto, relato e anexos; outras categorias indicam login obrigatório.","2026-09-21"
"36","Cotriguaçu","https://www.cotriguacu.mt.gov.br/","https://www.cotriguacu.mt.gov.br/portal/carta-servicos/34/","https://www.cotriguacu.mt.gov.br/portal/carta-servicos/34/","Prefeitura Municipal de Cotriguaçu - Carta de Serviços","PORTAL_INTERMEDIARIO_SEM_LINK","Carta de Serviços → Ouvidoria (sem link digital observável)","Página descreve atendimento de Ouvidoria on-line/telefone/presencial, mas não expõe ação ou URL do formulário; portal principal também sem link direto.","2026-09-21"
"37","Cuiabá","https://www.cuiaba.mt.gov.br/","https://www.cuiaba.mt.gov.br/secretarias/ouvidoria-do-municipio","https://ouvidoria.cuiaba.mt.gov.br/new","Ouvidoria Digital — Prefeitura de Cuiabá","FORMULARIO_FINAL_CONFIRMADO","Página institucional → Ouvidoria Geral → Nova Manifestação","Nova Manifestação com tipo, assunto, descrição, órgão, identificação e Enviar Manifestação.","2026-09-21"
"38","Curvelândia","https://www.curvelandia.mt.gov.br/","https://www.curvelandia.mt.gov.br/ouvidoria/","https://curvelandia.mt.gov.br/ouvidoria/formulario-on-line?tipo=den","Prefeitura Municipal de Curvelândia","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria → Novo Chamado/Prosseguir Denúncia","Formulário para Envio de Manifestações, tipo Denúncia, relato, contato e anexos.","2026-09-21"
"39","Cáceres","https://www.caceres.mt.gov.br/","https://ouvidoria.caceres.mt.gov.br/","https://falabr.cgu.gov.br/v2/manifestacoes/registrar?modoOuvidoria=1&ouvidoriaInterna=false","Fala.BR - Plataforma Integrada de Ouvidoria e Acesso à Informação","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Fala.BR","Etapa Relato e campo obrigatório; o fluxo é genérico e não preseleciona órgão municipal.","2026-09-21"
"40","Denise","https://www.denise.mt.gov.br/","https://www.denise.mt.gov.br/ouvidoria","https://www.denise.mt.gov.br/ouvidoria/manifestacao","Ouvidoria | Manifestações | Prefeitura Municipal de Denise","FORMULARIO_FINAL_CONFIRMADO","/ouvidoria → Acessar em Ouvidoria Online","Registrar Manifestação com tipos e campos nome/e-mail/telefone/UF/cidade.","2026-09-21"
"41","Diamantino","https://www.diamantino.mt.gov.br/","https://ouvidoria.diamantino.mt.gov.br/","https://ouvidoria.diamantino.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Diamantino","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastrar Manifestação com tipos, contato, sigilo, relato, anexo e Enviar; reCAPTCHA indicado.","2026-09-21"
"42","Dom Aquino","https://www.domaquino.mt.gov.br/","https://www.domaquino.mt.gov.br/transparencia/ouvidoria/","https://www.domaquino.mt.gov.br/transparencia/cadastrar-manifestacao/","","FORMULARIO_FINAL_CONFIRMADO","/transparencia/ouvidoria → Registrar Nova Manifestação","Nome, e-mail, categoria, secretaria e descrição; há rota anônima separada.","2026-09-21"
"43","Feliz Natal","https://www.feliznatal.mt.gov.br/home","https://www.feliznatal.mt.gov.br/contato","https://preffeliznatal.ouvidoriabr.com/protocolo/novo/212","Ouvidoria da Prefeitura de Feliz Natal","FORMULARIO_FINAL_CONFIRMADO","Contato → OuvidoriaBR → Novo Protocolo → Reclamação","Novo Protocolo/Reclamação, opção continuar sem identificação, nome/e-mail/CPF/mensagem e Salvar.","2026-09-21"
"44","Figueirópolis d’Oeste","https://figueiropolisdoeste.mt.gov.br/","https://figueiropolisdoeste.mt.gov.br/contato","https://figueiropolisdoeste.mt.gov.br/ouvidoria/anonima","Ouvidoria Anônima","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria → Anônima","Tipo de manifestação, anexo, mensagem e Enviar; a rota identificada redireciona para login.","2026-09-21"
"45","Gaúcha do Norte","https://www.gauchadonorte.mt.gov.br/","https://www.gauchadonorte.mt.gov.br/canais-atendimentos","https://www.gauchadonorte.mt.gov.br/fale-conosco","","CANAL_OFICIAL_SEM_FORMULARIO","Ouvidoria (telefone) → Fale Conosco genérico (não confirmado como Ouvidoria)","Canal de Ouvidoria apresenta telefone (66) 99243-7100; página Fale Conosco tem formulário genérico sem evidência de registro de Ouvidoria.","2026-09-21"
"46","General Carneiro","https://www.generalcarneiro.mt.gov.br/","https://www.gws-sistemas.com.br/cartadeservico.pm.generalcarneiro/geral/ouvidoria-municipal","https://www.gws-sistemas.com.br/cartadeservico.pm.generalcarneiro/geral/ouvidoria-municipal","Da Ouvidoria","PORTAL_INTERMEDIARIO_SEM_LINK","Carta de Serviços → Da Ouvidoria (sem link acionável)","Página oficial descreve manifestações online identificadas/anônimas, mas “clique aqui” não é link nem botão; informa e-mail e telefone.","2026-09-21"
"47","Glória d’Oeste","https://www.gloriadoeste.mt.gov.br/","https://www.gloriadoeste.mt.gov.br/transparencia","https://gloriadoeste.mt.gov.br/ouvidoria/formulario-on-line","Formulário para Envio de Manifestações para a Ouvidoria","FORMULARIO_FINAL_CONFIRMADO","Transparência → Portal → Ouvidoria → Abrir um Chamado","Opção anônima/identificada, tipo, dados pessoais, detalhamento, anexo e Enviar Manifestação.","2026-09-21"
"48","Guarantã do Norte","https://www.guarantadonorte.mt.gov.br/","https://ouvidoria.guarantadonorte.mt.gov.br/","https://ouvidoria.guarantadonorte.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Guarantã do Norte","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastrar Manifestação com tipos, contato, sigilo, relato, anexo e Enviar; reCAPTCHA indicado.","2026-09-21"
"49","Guiratinga","https://guiratinga.mt.gov.br/","https://ouvidoria.guiratinga.mt.gov.br/","https://ouvidoria.guiratinga.mt.gov.br/Manifestacao/","Ouvidoria - Prefeitura de Guiratinga","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastrar Manifestação com tipos, contato, sigilo, relato, anexo e Enviar; reCAPTCHA indicado.","2026-09-21"
"50","Indiavaí","https://www.indiavai.mt.gov.br/","https://gws-sistemas.com.br/ouvidoria.pm.indiavai/","https://gws-sistemas.com.br/ouvidoria.pm.indiavai/novo-protocolo","Novo Protocolo","FORMULARIO_FINAL_CONFIRMADO","Página Ouvidoria → Ouvidoria Online → Acesse aqui","E-mail, nome, senha, departamento (Ouvidoria anônima/identificada), assunto, mensagem, prioridade e Enviar.","2026-09-21"
"51","Ipiranga do Norte","https://www.ipirangadonorte.mt.gov.br","https://ouvidoria.ipirangadonorte.mt.gov.br/","https://ouvidoria.ipirangadonorte.mt.gov.br/Manifestacao/","Cadastrar Manifestação","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Contato/tipo, nome/e-mail/telefone, UF/cidade (Ipiranga do Norte pré-selecionada) e campos de cadastro.","2026-09-21"
"52","Itanhangá","https://www.itanhanga.mt.gov.br/#/home","https://www.itanhanga.mt.gov.br/","https://prefitanhanga.ouvidoriabr.com/protocolo/novo/90","Reclamação","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria → Novo Protocolo → Reclamação","Opção de não identificação, nome/e-mail/CPF, mensagem e Salvar.","2026-09-21"
"53","Itaúba","https://www.itauba.mt.gov.br/","https://ouvidoria.itauba.mt.gov.br/","https://ouvidoria.itauba.mt.gov.br/Manifestacao/","Consultar - Cadastrar Manifestação","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Identificado/anônimo, categorias, nome/e-mail/telefone e cidade Itaúba pré-selecionada.","2026-09-21"
"54","Itiquira","https://www.itiquira.mt.gov.br/","https://www.itiquira.mt.gov.br/","https://www.itiquira.mt.gov.br/ouvidoria/open.php","Protocolar Novo Chamado","FORMULARIO_FINAL_CONFIRMADO","Portal → Serviços On-line → Ouvidoria → Protocolar Novo Chamado","Formulário com e-mail, nome, contato e tipo; CAPTCHA visível, não resolvido nem enviado.","2026-09-21"
"55","Jaciara","https://www.jaciara.mt.gov.br/","https://seliga.jaciara.mt.gov.br/","https://www.jaciara.mt.gov.br/transparencia/cadastrar-manifestacao/","Cadastrar Manifestação - Ouvidoria Municipal | Portal Transparência - Prefeitura de Jaciara","FORMULARIO_FINAL_CONFIRMADO","Seliga → Ouvidoria Municipal → Registrar Nova Manifestação","Nome, e-mail, cidade/estado, categoria/secretaria, assunto e textarea; link visível Registrar Nova Manifestação.","2026-09-21"
"56","Jangada","https://jangada.mt.gov.br/","https://ouvidoria.jangada.mt.gov.br/","https://ouvidoria.jangada.mt.gov.br/Manifestacao/","Ouvidoria Prefeitura Municipal de de Jangada - MT","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastre sua Manifestação, campos de contato, mensagem e Enviar; página informa reCAPTCHA.","2026-09-21"
"57","Jauru","https://www.jauru.mt.gov.br/","https://www.jauru.mt.gov.br/ouvidoria","https://www.jauru.mt.gov.br/ouvidoria-identificada","Ouvidoria Identificada - www.Jauru.mt.gov.br","FORMULARIO_FINAL_CONFIRMADO","/ouvidoria → Ouvidoria Identificada","Nome, CPF/CNPJ, endereço, e-mail, tipo de manifestação, assunto e botão Enviar.","2026-09-21"
"58","Juara","https://juara.mt.gov.br/#/home","https://juara.mt.gov.br/","https://prefjuara.ouvidoriabr.com/protocolo/novo/149","Ouvidoria da Prefeitura de Juara","FORMULARIO_FINAL_CONFIRMADO","Portal → Ouvidoria | SIC → Novo Protocolo → Reclamação","Rota de Reclamação com Nome Completo, E-mail, CPF, mensagem, anexo e botão Salvar.","2026-09-21"
"59","Juruena","https://www.juruena.mt.gov.br/","https://www.juruena.mt.gov.br/portal/ouvidoria","https://www.juruena.mt.gov.br/portal/ouvidoria/cadastro/1","Prefeitura Municipal","FORMULARIO_FINAL_CONFIRMADO","/portal/ouvidoria → Denúncia","Cadastrar Manifestação na Ouvidoria, anonimato, secretaria, assunto, forma de resposta, descrição/anexo e Cadastrar. Página informa que outros tipos exigem login.","2026-09-21"
"60","Juscimeira","https://www.juscimeira.mt.gov.br/","https://www.juscimeira.mt.gov.br/transparencia/ouvidoria/","https://ouvidoria.hiperbiti.com.br/?token=7GZDD2K2019032577SIIC2","Portal Transparência - Prefeitura Municipal de Juscimeira","FORMULARIO_FINAL_CONFIRMADO","Portal raiz → e-SIC/Ouvidoria → Formulário Online → Reclamação","Portal oficial publica Formulário Online/Denúncia Anônima; fluxo Formulário Online → Reclamação abre campos Nome, CPF, telefone/e-mail, assunto e texto da manifestação.","2026-09-21"
"61","Juína","https://www.juina.mt.gov.br/","https://www.juina.mt.gov.br/informativo/4/ouvidoria","https://prefjuina.ouvidoriabr.com/protocolo/novo/165","Ouvidoria da Prefeitura de Juína","FORMULARIO_FINAL_CONFIRMADO","Página municipal → OuvidoriaBR → Novo Protocolo → Reclamação","Nome completo, e-mail, CPF, mensagem, anexo e Salvar.","2026-09-21"
"62","Lambari d’Oeste","https://lambaridoeste.mt.gov.br","https://lambaridoeste.mt.gov.br/ouvidoria/","https://lambaridoeste.mt.gov.br/ouvidoria/formulario-on-line","Prefeitura Municipal de Lambari D‘Oeste","FORMULARIO_FINAL_CONFIRMADO","/ouvidoria → Formulário On-line","Envio de manifestações, anônimo/identificado, tipo, órgão/setor, texto e botão Enviar Manifestação.","2026-09-21"
"63","Lucas do Rio Verde","https://www.lucasdorioverde.mt.gov.br/site/","https://cidadao.lucasdorioverde.mt.gov.br/portal/","https://lucasdorioverde.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01JJ6Z3KTJVF1FXVD799BHCXDN","Categorias | Central de Serviços | Prefeitura de Lucas do Rio Verde | 1Doc","PORTAL_INTERMEDIARIO_SELECAO_SERVICO","/site/ouvidoria → Ouvidoria Municipal → Central 1Doc","Categoria Ouvidoria com 75 serviços por assunto; sem formulário genérico, busca por manifestação sem resultados.","2026-09-21"
"64","Luciara","https://www.luciara.mt.gov.br/","https://gws-sistemas.com.br/ouvidoria.pm.luciara/","https://gws-sistemas.com.br/ouvidoria.pm.luciara","","SEM_CONTEUDO_VISIVEL","Portal oficial → banner Ouvidoria → GWS (sem conteúdo)","Banner oficial GWS Ouvidoria aponta para este destino; link e URL da planilha abriram about:blank, sem título/DOM.","2026-09-21"
"65","Marcelândia","https://www.marcelandia.mt.gov.br/","https://ouvidoria.marcelandia.mt.gov.br/","https://ouvidoria.marcelandia.mt.gov.br/Manifestacao/","Ouvidoria Prefeitura de Marcelândia","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria Online → Acessar","Cadastrar Manifestação, contato identificado/anônimo, nome/e-mail/telefone, relato/anexo e Enviar.","2026-09-21"
"66","Matupá","https://www.matupa.mt.gov.br/","https://www.matupa.mt.gov.br/Transparencia/Ouvidoria-SUS/","https://www.matupa.mt.gov.br/Transparencia/Ouvidoria-SUS/Formulario/","Prefeitura de Matupá - MT","FORMULARIO_FINAL_CONFIRMADO","Ouvidoria-SUS → Ouvidoria Online → Acessar","Cadastrar Manifestação; seleção do tipo, dados de contato, sigilo, campo da manifestação e envio.","2026-09-21"
